# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
4.806970321058408e+01 2.322933034338723e-01 2.519913105842065e-02
4.819053369726063e+01 2.350791201949486e-01 2.083065846940918e-02
4.831136418393719e+01 2.373044353794050e-01 1.589658916865998e-02
4.843219467061374e+01 2.388925505847715e-01 1.026487754496171e-02
4.855302515729029e+01 2.397532425713415e-01 3.844890263850046e-03
4.867385564396685e+01 2.397881453740253e-01 -3.406767918342995e-03
4.879468613064340e+01 2.388966746084806e-01 -1.148313420617854e-02
4.891551661731995e+01 2.369821596219491e-01 -2.032657141368280e-02
4.903634710399650e+01 2.339578461674239e-01 -2.983120794893557e-02
4.915717759067306e+01 2.297524462389202e-01 -3.984795257563367e-02
4.927800807734961e+01 2.243149410039043e-01 -5.019178337429368e-02
4.939883856402616e+01 2.176183853902203e-01 -6.065090908999649e-02
4.951966905070272e+01 2.096625166073589e-01 -7.099731863860886e-02
4.964049953737927e+01 2.004750314004502e-01 -8.099817146010360e-02
4.976133002405582e+01 1.901114657654157e-01 -9.042743860347228e-02
4.988216051073238e+01 1.786536836339791e-01 -9.907718395154169e-02
5.000299099740893e+01 1.662070547839062e-01 -1.067678800952222e-01
5.012382148408548e+01 1.528964736198410e-01 -1.133571879157826e-01
5.024465197076204e+01 1.388614357317182e-01 -1.187466962541733e-01
5.036548245743859e+01 1.242504442043286e-01 -1.228862194490973e-01
5.048631294411514e+01 1.092150584894628e-01 -1.257753839640852e-01
5.060714343079169e+01 9.390392172155473e-02 -1.274623945977357e-01
5.072797391746825e+01 7.845710512163356e-02 -1.280400455771665e-01
5.084880440414480e+01 6.300108950354412e-02 -1.276392187391835e-01
5.096963489082135e+01 4.764466451048491e-02 -1.264202751529488e-01
5.109046537749791e+01 3.247596848576814e-02 -1.245628837178615e-01
5.121129586417446e+01 1.756081981521532e-02 -1.222549288486352e-01
5.133212635085101e+01 2.942409340215764e-03 -1.196811917042516e-01
5.145295683752757e+01 -1.135766115626383e-02 -1.170125025591634e-01
5.157378732420412e+01 -2.533709145077347e-02 -1.143960174360168e-01
5.169461781088067e+01 -3.900951749520914e-02 -1.119471854378528e-01
5.181544829755723e+01 -5.240030072181542e-02 -1.097438525380536e-01
5.193627878423378e+01 -6.554174991481779e-02 -1.078228027819571e-01
5.205710927091033e+01 -7.846808040586264e-02 -1.061788794886393e-01
5.217793975758688e+01 -9.121042280643846e-02 -1.047666676179031e-01
5.229877024426344e+01 -1.037921817604400e-01 -1.035045639061327e-01
5.241960073093999e+01 -1.162250156665772e-01 -1.022809226541080e-01
5.254043121761654e+01 -1.285056633798122e-01 -1.009618499284884e-01
5.266126170429310e+01 -1.406137868000555e-01 -9.940013368448755e-02
5.278209219096965e+01 -1.525109328941516e-01 -9.744474641169257e-02
5.290292267764620e+01 -1.641406493906323e-01 -9.495034272898804e-02
5.302375316432276e+01 -1.754297195989453e-01 -9.178619690752907e-02
5.314458365099931e+01 -1.862904178457639e-01 -8.784408203310998e-02
5.326541413767586e+01 -1.966236317389584e-01 -8.304467837001790e-02
5.338624462435241e+01 -2.063226539643643e-01 -7.734220620087706e-02
5.350707511102897e+01 -2.152774167114482e-01 -7.072709915990878e-02
5.362790559770552e+01 -2.233789271124448e-01 -6.322665832827129e-02
5.374873608438207e+01 -2.305236621258977e-01 -5.490374593564645e-02
5.386956657105863e+01 -2.366176949220967e-01 -4.585368256887744e-02
5.399039705773518e+01 -2.415803500316724e-01 -3.619959761320326e-02
5.411122754441173e+01 -2.453472187584166e-01 -2.608654608457952e-02
5.423205803108829e+01 -2.478724068658868e-01 -1.567474542851052e-02
5.435288851776484e+01 -2.491299306149717e-01 -5.132304741703040e-03
5.447371900444139e+01 -2.491142224171637e-01 5.372180923355360e-03
5.459454949111795e+01 -2.478397516231666e-01 1.567681358321460e-02
5.471537997779450e+01 -2.453398076407435e-01 2.563302225009219e-02
5.483621046447105e+01 -2.416645303665418e-01 3.511134611671037e-02
5.495704095114760e+01 -2.368783057641012e-01 4.400612220793405e-02
5.507787143782416e+01 -2.310566714034704e-01 5.223888083443808e-02
5.519870192450071e+01 -2.242828970449232e-01 5.976031115566717e-02
5.531953241117726e+01 -2.166444181039304e-01 6.655072439668058e-02
5.544036289785382e+01 -2.082293043848248e-01 7.261901255010281e-02
5.556119338453037e+01 -1.991229423272328e-01 7.800017355499295e-02
5.568202387120692e+01 -1.894050960092957e-01 8.275154676428381e-02
5.580285435788348e+01 -1.791474905751856e-01 8.694797091963544e-02
5.592368484456003e+01 -1.684120324061033e-01 9.067613631968043e-02
5.604451533123658e+01 -1.572497445865428e-01 9.402844894461528e-02
5.616534581791313e+01 -1.457004558886730e-01 9.709675316981686e-02
5.628617630458969e+01 -1.337932388630769e-01 9.996626865652840e-02
5.640700679126624e+01 -1.215475501824124e-01 1.027100847765296e-01
5.652783727794279e+01 -1.089749866935164e-01 1.053845228119633e-01
5.664866776461935e+01 -9.608153612044305e-02 1.080256240053888e-01
5.676949825129590e+01 -8.287017414795783e-02 1.106469534978166e-01
5.689032873797245e+01 -6.934364137268934e-02 1.132388305248404e-01
5.701115922464901e+01 -5.550722544792364e-02 1.157690089173891e-01
5.713198971132556e+01 -4.137137614988754e-02 1.181847443477836e-01
5.725282019800211e+01 -2.695399388294733e-02 1.204161013288914e-01
5.737365068467867e+01 -1.228225449407792e-02 1.223802789536165e-01
5.749448117135522e+01 2.606136246849074e-03 1.239866744931729e-01
5.761531165803177e+01 1.766232848331314e-02 1.251423622131838e-01
5.773614214470832e+01 3.282638394637608e-02 1.257576440100306e-01
5.785697263138488e+01 4.802798937430006e-02 1.257513302754673e-01
5.797780311806143e+01 6.318777556063367e-02 1.250554337668465e-01
5.809863360473798e+01 7.821915412100715e-02 1.236190045076546e-01
5.821946409141454e+01 9.303055484366289e-02 1.214108965131644e-01
5.834029457809109e+01 1.075279256702740e-01 1.184213326077461e-01
5.846112506476764e+01 1.216173461290050e-01 1.146622158846685e-01
5.858195555144420e+01 1.352076038496472e-01 1.101662190588081e-01
5.870278603812075e+01 1.482125922984524e-01 1.049847598208651e-01
5.882361652479730e+01 1.605534050304503e-01 9.918503584094657e-02
5.894444701147386e+01 1.721600259345972e-01 9.284634311699425e-02
