#  N   Simpon's     Milne     Qags_GSL
#-----------------------------------------
2.423245873936807903703538613627e+00  -1.194167529368207780748889490496e+01  -1.491029164554896446759357786505e+01  2.312856185683747511916408257093e+00
2.429752280002408060255447708187e+00  -1.196764591391675480736012104899e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.436162647040756024097163390252e+00  -1.199353699109683901724565657787e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.442479769064448635873532111873e+00  -1.201907287765911291899101343006e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.448706319905079809018388914410e+00  -1.204349813568264337959590193350e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.454844860008510210036547505297e+00  -1.206857473105590550233046087669e+01  -1.497723843517957753590508218622e+01  2.312856185683747511916408257093e+00
2.460897842756547770903807759169e+00  -1.209263185388164707489977445221e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.466867620354109558178379302262e+00  -1.211640152621954058531628106721e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.472756449317212279481736914022e+00  -1.214049246953008776017668424174e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.478566495593843121980626165168e+00  -1.216376864734990270733305806061e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.484299839346785887528312741779e+00  -1.218695327114633641940599773079e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.489958479424834614235351182288e+00  -1.220798422589573206664681492839e+01  -inf  2.312856185683747511916408257093e+00
2.495544337546448332432191818953e+00  -1.223177326650885099468268890632e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.501059262217751655299480262329e+00  -1.225405650691765657711584935896e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.506505032404871879947449997417e+00  -1.227639055388986477623802784365e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.511883360978874435431862366386e+00  -1.229856833754162259708664350910e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.517195897949974447982413039426e+00  -1.231875005387056098982156981947e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.522444233506319744009260830353e+00  -1.233908209850334003476746147498e+01  -1.497723843517957753590508218622e+01  2.312856185683747511916408257093e+00
2.527629900871338541890054329997e+00  -1.236006329249387114543878851691e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.532754378992497557021579268621e+00  -1.238064133955311874046856246423e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.537819095073273967244631421636e+00  -1.240262849383939069980442582164e+01  -1.497723843517957753590508218622e+01  2.312856185683747511916408257093e+00
2.542825426959179679897715686820e+00  -1.242133824521632945447890961077e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.547774705387822358204630290857e+00  -1.244110102461572431309377861908e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.552668216112193189104573320947e+00  -1.245982258560074207309753546724e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.557507201905657723273179726675e+00  -1.248007833102141006520469090901e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
